name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on, price_usd , price ,price_currency_code, cb_url , ipo_uuid ,uuid
Prologue,FRA,,A8,Gennevilliers,epa,PROL,2007-01-19,,,, https://www.crunchbase.com/organization/prologue , de0f5002-a3fc-4538-aab4-f129add8131d ,7746a5d5-e0e3-4c1f-a522-6f57241284f9
Smart Parking Ltd,AUS,,7,Melbourne,asx,SPZ,2007-01-19,,,, https://www.crunchbase.com/organization/smart-parking-ltd , a8fbb48d-f9c1-1eb0-aeea-7bfbd8e838ca ,6d2a508d-28bf-9a9d-9a48-48031a70864a
IntelGenX,CAN,QC,QC,Saint Laurent,otcqx,IGXT,2007-01-16,,,, https://www.crunchbase.com/organization/intelgenx , d7c1bc59-35e2-3a24-4266-42f35f403188 ,fad77275-a96c-72b7-7fb1-e48ea29c8233
AeroGrow International,USA,CO,CO,Boulder,otcqb,AERO,2007-01-12,,,, https://www.crunchbase.com/organization/aerogrow-international , fd0e0341-0a82-1cff-4677-2073c0f427e7 ,7cee1b3b-19e3-3b19-ad84-df2fd9810e7d
Covata,AUS,,2,Sydney,asx,CVT,2007-01-12,,,, https://www.crunchbase.com/organization/covata , ce08dfcf-2fe8-9dac-02b0-9e49ac461fc6 ,c314aab6-177d-3511-50c1-1378ce7ad9df
DNA Dynamics,GBR,,P3,Leamington Spa,otcpink,DNAD,2007-01-12,,,, https://www.crunchbase.com/organization/dna-dynamics , f57d29b1-41f9-fdfc-a44e-a0352b12c9f9 ,9fdecc96-1f12-deeb-848e-6d582e365002
HBL Power Systems Ltd,IND,,2,Hyderabad,nse,HBLPOWER,2007-01-12,,,, https://www.crunchbase.com/organization/hbl-power-systems-ltd , ccdc6d4d-fdb7-6da4-a803-cf60d1a19ede ,028b16da-1ccd-d38f-4a6a-0e71991f76e6
LEGACY RESERVES,USA,TX,TX,Midland,nasdaq,LGCY,2007-01-12,,,, https://www.crunchbase.com/organization/legacy-reserves , 98e2da4f-a4c7-1a71-1d55-cedeae9fc9d9 ,b25809d3-8adf-6fba-a5c0-1b7b18c57df9
Panoramic Universal Limited,IND,,16,Mumbai,nse,PANORAMUNI,2007-01-12,,,, https://www.crunchbase.com/organization/panoramic-universal-limited , 5011a4cf-b782-aa6d-cf75-1fd06ec43bb4 ,cb0c1774-ce87-1754-427c-d6bad08a2cee
Pennine Petroleum,CAN,AB,AB,Calgary,cve,PNN,2007-01-12,,,, https://www.crunchbase.com/organization/pennine-petroleum , 4541e41b-7dae-4685-ab33-9dfc02a6656c ,9994bc94-2ff6-4ee2-9014-7e9a5537b905
Sokoman Iron,CAN,ON,ON,Puslinch,cve,SIC,2007-01-12,,,, https://www.crunchbase.com/organization/sokoman-iron , 47724d4b-8c30-4423-9ba0-aa726316ab44 ,ec05fed4-ec63-445b-a04d-84130fbc9918
Solar Alliance Energy,CAN,BC,BC,Vancouver,cve,SOLR,2007-01-12,,,, https://www.crunchbase.com/organization/finavera-solar , 77d916b7-905a-4b28-d57a-1ca0c3e97ee9 ,94796478-83c6-7c41-dbc6-437f26dc3409
Tanla Solutions,FIN,,15,Tampere,bom,532790,2007-01-12,,,, https://www.crunchbase.com/organization/tanla-solutions , 24ee3dab-55c9-5d40-3fcc-e7dbb4b06ab9 ,d27b0e7d-eea3-6151-522d-21d429081dff
