company_name,country_code,state_code,region,funding_rounds,women_led
SpringWorks Therapeutics,USA,CT,CT,2,True
Sweetspotter,FIN,,13,2,False
taptrip,GBR,,I2,2,False
ten3T,IND,,19,2,False
Tibit Communications,USA,CA,CA,4,False
Totle,USA,MI,MI,2,False
Unisound,CHN,,22,7,False
BiiLabs,TWN,,3,1,False
Box8,IND,,16,5,False
CRIBZ,GBR,,H9,1,False
ElMindA,ISR,,5,4,True
iFundWomen,USA,NY,NY,2,True
Kokoon Technology,GBR,,H9,4,False
Lavabit,USA,TX,TX,1,False
OROS,USA,OH,OH,5,False
Shebah,AUS,,7,1,True
SmartGuide,CZE,,52,2,False
Trusty.care,USA,NY,NY,4,False
UpTop,USA,NY,NY,1,False
Audacy,USA,CA,CA,5,False
Saleswhale,SGP,,,3,True
Zivame.com,IND,,19,5,True
aoiShip,JPN,,40,1,False
Aqua America,USA,PA,PA,1,True
Automizy,USA,NY,NY,3,False
Betaworks Studios,USA,NY,NY,2,False
Bounce (Metro Bikes),IND,,19,4,False
Cassia Networks,USA,CA,CA,6,False
Coinlend,DEU,,1,1,False
DrugStars,DNK,,17,2,False
Dumpling,POL,,72,1,False
Ecolectro,USA,NY,NY,4,True
eShiksa,IND,,24,3,False
Fliit,DEU,,16,3,False
GA Drilling,SVK,,7,2,False
GripIt Fixings,GBR,,P8,3,False
Hexindai,CHN,,22,1,False
"Hustle Fitness, Inc.",USA,PA,PA,2,False
Inteluck,PHL,,D9,3,False
Invisalert Solutions,USA,PA,PA,4,True
MakeSpace,USA,NY,NY,6,False
Mr Noow,ESP,,56,3,False
Novo,USA,NY,NY,2,False
QueQ,THA,,40,2,False
ReadSense,CHN,,23,3,False
SIRCLO,IDN,,4,2,False
Standigm,KOR,,11,4,True
Talenthouse,USA,CA,CA,5,False
Tithe.ly,USA,TN,TN,6,False
Toast,USA,MA,MA,6,False
WealthPark,JPN,,40,2,False
Willow,,,,2,False
1stdibs,USA,NY,NY,5,True
Academia.edu,USA,CA,CA,6,False
ActivTrak,USA,TX,TX,1,True
Agroop,PRT,,14,4,False
AirMatrix,CAN,ON,ON,2,True
ATAI Life Sciences AG,DEU,,2,2,False
Avivagen,CAN,ON,ON,2,False
BillionToOne,USA,CA,CA,3,False
Biolinq,USA,CA,CA,3,False
Built Technologies,USA,TN,TN,2,False
Clear Blue Technologies,CAN,ON,ON,4,False
ClearVoxel,CAN,ON,ON,2,False
Cloudsnap,USA,TX,TX,4,False
Concert Health,USA,CA,CA,2,False
Cosmian,FRA,,A8,1,True
Crelate,USA,MD,MD,2,False
CroíValve,IRL,,7,1,False
Hyalex Orthopaedics,USA,MA,MA,2,True
Inivata,USA,MA,MA,3,True
Kong,USA,CA,CA,5,True
Kyligence,CHN,,23,5,False
Kyriba,USA,CA,CA,12,True
Meter Feeder,USA,PA,PA,4,False
MotoRefi,USA,VA,VA,1,False
Natural HR Limited,GBR,,A7,2,True
PatchAI,ITA,,20,1,False
Players' Lounge,USA,NY,NY,8,False
POLYNEURON,CHE,,4,5,False
Possible Finance,USA,WA,WA,3,False
Qutoutiao,CHN,,23,5,True
RADAR,USA,NY,NY,4,False
Satisfi Labs,USA,NY,NY,4,True
Sceenic,GBR,,H9,3,False
Seal Software,USA,CA,CA,6,False
Shuttl,IND,,10,7,False
Troquer,MEX,,9,1,True
Unistellar,FRA,,B8,1,False
University College Dublin,IRL,,7,2,True
Unloc,NOR,,12,1,False
Vanke,CHN,,30,1,True
Voicea,USA,CA,CA,3,False
1sales.io,DEU,,7,3,False
ADmit Therapeutics,ESP,,56,1,True
Aire,GBR,,H9,7,False
Amenify,USA,CA,CA,3,False
Artiphon,USA,TN,TN,2,False
BCN3D,ESP,,56,1,False
Behavox,GBR,,H9,5,False
Blockchain,GBR,,H9,4,True
Bulb,GBR,,H9,3,False
CaroGen,USA,CT,CT,2,False
Casper,USA,NY,NY,7,True
CB4,USA,NY,NY,2,False
Confirm Biosciences,USA,CA,CA,1,True
Culture Trip,GBR,,H9,4,True
Currencycloud,GBR,,H9,8,True
EmployStream,USA,OH,OH,3,False
ExpoPromoter,CHN,,23,4,False
Fancam,AUS,,8,1,True
ForAllSecure,USA,PA,PA,1,True
FunnelAI,USA,TX,TX,4,True
GamingMonk,IND,,7,3,False
Garrison Technology,GBR,,H9,4,False
GlobalWebIndex,GBR,,H9,2,True
Goodly,USA,CA,CA,2,False
GreyNoise Intelligence,USA,DC,DC,1,False
Grid.is,ISL,,10,2,False
Ieso Digital Health,GBR,,C3,5,True
Instabridge,SWE,,26,5,False
Kespry,USA,CA,CA,4,False
Kimble Applications,GBR,,H9,3,False
Level Ex,USA,IL,IL,4,True
Maestrik,,,,2,False
MarketInvoice,GBR,,H9,6,False
Matador,USA,NY,NY,2,True
Mediatonic Games,GBR,,H9,3,False
Meissa Vaccines,USA,CA,CA,2,False
MineralTree,USA,MA,MA,4,True
MiningLamp,CHN,,22,3,True
Monzo,GBR,,H9,11,True
M Squared Lasers,GBR,,V2,2,False
Nested,GBR,,H9,7,True
OccasionGenius,USA,VA,VA,5,False
PayIt,USA,MO,MO,2,False
Perkbox,GBR,,H9,4,False
PhotoShelter,USA,NY,NY,2,False
Preteckt,USA,TN,TN,3,False
Proxy,USA,CA,CA,3,False
Quantexa,GBR,,H9,3,True
Qupital,HKG,,,5,False
Rad Power Bikes,USA,WA,WA,2,True
Reach Robotics,GBR,,B7,7,False
RedCarpetUp,IND,,10,4,False
Revolut,GBR,,H9,12,False
Rocket Dollar,USA,TX,TX,3,False
Salary Finance,GBR,,H9,4,False
Sepio Systems,USA,MD,MD,3,False
Seqera Labs,ESP,,56,1,False
SightPlan,USA,FL,FL,2,False
Spike,ISR,,5,4,False
StarLeaf,GBR,,F8,2,False
Starling Bank,GBR,,H9,5,True
Teraki,DEU,,16,7,False
Transsnet Music,CHN,,30,2,False
Tru,USA,MA,MA,3,False
Voiceitt,ISR,,5,13,True
Wealth Access,USA,TN,TN,5,True
Wordego Inc.,USA,IL,IL,2,True
Xealth,USA,WA,WA,2,False
YellowDog,GBR,,B7,7,True
1939 Games,ISL,,10,3,False
3D Hubs,NLD,,7,4,False
Airwallex,HKG,,,6,True
Aldeyra Therapeutics,USA,MA,MA,2,False
Alpha Foods,USA,CA,CA,1,False
Animus,,,,1,False
Appili Therapeutics,CAN,NS,NS,7,True
Applicaster,USA,NY,NY,4,True
Blinger LLC,RUS,,48,3,False
bookingkit GmbH,DEU,,16,4,False
ChargeWheel,USA,CA,CA,1,False
Clearwave,USA,GA,GA,3,False
Cytena,DEU,,1,2,False
Devvio,USA,NM,NM,1,False
Entangled group,USA,CA,CA,3,False
Finaeo Inc.,CAN,ON,ON,2,False
Fohlio,USA,NY,NY,2,True
GBarena,EGY,,11,3,False
GeoSpock,GBR,,C3,6,True
Haven Connect,USA,CA,CA,1,True
Helios and Matheson Analytics,USA,NY,NY,1,False
HGGC,USA,CA,CA,1,False
Ibex Medical Analytics,ISR,,5,2,False
Innoviz Technologies,ISR,,2,5,False
Keynua,PER,,15,2,False
Linear Labs,USA,TX,TX,3,False
Lola.com,USA,MA,MA,3,False
Mursion,USA,CA,CA,3,False
Northern Arc,IND,,25,4,True
OncoLens,,,,2,True
Perimeter 81,ISR,,5,1,False
Perx Technologies,SGP,,,4,True
Prevedere,USA,CA,CA,5,True
Reactive Technologies,GBR,,K2,2,False
Revvo Technologies,USA,CA,CA,2,False
Sauce Labs,USA,CA,CA,6,True
SentiLink,USA,CA,CA,1,False
